Vardas         Pavarde        ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   Egz.
Vardas302      Pavarde302     2      1      1      6      3      5      6      2      3      10     3      2      0      5      6      6      
Vardas303      Pavarde303     1      9      5      1      4      3      4      0      9      1      5      4      10     3      7      2      
Vardas304      Pavarde304     0      7      9      1      6      1      1      10     4      5      3      4      4      7      2      6      
Vardas305      Pavarde305     3      0      0      1      5      5      7      5      0      1      6      6      7      10     6      5      
Vardas306      Pavarde306     5      2      9      8      1      3      5      1      7      5      0      1      7      7      0      7      
Vardas307      Pavarde307     2      0      3      10     2      8      5      5      5      3      5      10     8      2      7      6      
Vardas308      Pavarde308     3      7      7      1      9      1      7      1      2      1      0      2      10     4      4      0      
Vardas309      Pavarde309     1      5      6      6      2      4      5      0      0      6      5      7      10     4      7      9      
Vardas310      Pavarde310     10     10     0      3      7      8      2      8      3      10     3      2      9      2      1      5      
Vardas311      Pavarde311     8      5      7      10     10     4      1      8      9      5      8      8      3      10     8      2      
Vardas312      Pavarde312     0      8      9      1      5      3      1      10     4      0      5      3      8      6      7      10     
Vardas313      Pavarde313     3      1      8      10     10     1      10     6      4      2      9      7      10     5      9      5      
Vardas314      Pavarde314     7      4      9      4      4      6      2      0      9      7      2      9      0      3      0      2      
